Player,Position,Team
Josh Allen,QB,BUF
Lamar Jackson,QB,BAL
Patrick Mahomes,QB,KC
Jalen Hurts,QB,PHI
Drake Maye,QB,NE
Dak Prescott,QB,DAL
Baker Mayfield,QB,TB
Justin Herbert,QB,LAC
Jonathan Taylor,RB,IND
Jayden Daniels,QB,WAS
Daniel Jones,QB,IND
Bo Nix,QB,DEN
Matthew Stafford,QB,LAR
Jordan Love,QB,GB
Jaxson Dart,QB,NYG
Brock Purdy,QB,SF
Bijan Robinson,RB,ATL
Caleb Williams,QB,CHI
Jared Goff,QB,DET
Sam Darnold,QB,SEA
Trevor Lawrence,QB,JAX
Joe Flacco,QB,CIN
Michael Penix Jr.,QB,ATL
Kyler Murray,QB,ARZ
Aaron Rodgers,QB,PIT
C.J. Stroud,QB,HOU
J.J. McCarthy,QB,MIN
Jahmyr Gibbs,RB,DET
Christian McCaffrey,RB,SF
Derrick Henry,RB,BAL
Justin Fields,QB,NYJ
Josh Jacobs,RB,GB
James Cook III,RB,BUF
Bryce Young,QB,CAR
Spencer Rattler,QB,NO
De'Von Achane,RB,MIA
Cam Ward,QB,TEN
Javonte Williams,RB,DAL
Tua Tagovailoa,QB,MIA
Saquon Barkley,RB,PHI
Kyren Williams,RB,LAR
Ashton Jeanty,RB,LV
Bucky Irving,RB,TB
Geno Smith,QB,LV
Cam Skattebo,RB,NYG
Puka Nacua,WR,LAR
Quinshon Judkins,RB,CLE
Jaxon Smith-Njigba,WR,SEA
Breece Hall,RB,NYJ
J.K. Dobbins,RB,DEN
Jacory Croskey-Merritt,RB,WAS
Chase Brown,RB,CIN
Ja'Marr Chase,WR,CIN
D'Andre Swift,RB,CHI
CeeDee Lamb,WR,DAL
Justin Jefferson,WR,MIN
Amon-Ra St. Brown,WR,DET
Rashee Rice,WR,KC
Drake London,WR,ATL
Emeka Egbuka,WR,TB
Kenneth Walker III,RB,SEA
Davante Adams,WR,LAR
Omarion Hampton,RB,LAC
Nico Collins,WR,HOU
DK Metcalf,WR,PIT
Travis Etienne Jr.,RB,JAX
Chuba Hubbard,RB,CAR
Rome Odunze,WR,CHI
Garrett Wilson,WR,NYJ
David Montgomery,RB,DET
Rico Dowdle,RB,CAR
Zach Charbonnet,RB,SEA
A.J. Brown,WR,PHI
George Pickens,WR,DAL
Alvin Kamara,RB,NO
Jaylen Warren,RB,PIT
Jordan Mason,RB,MIN
Ladd McConkey,WR,LAC
Isiah Pacheco,RB,KC
Zay Flowers,WR,BAL
Courtland Sutton,WR,DEN
Dillon Gabriel,QB,CLE
Brian Thomas Jr.,WR,JAX
Tetairoa McMillan,WR,CAR
Stefon Diggs,WR,NE
Jaylen Waddle,WR,MIA
Tony Pollard,RB,TEN
Tucker Kraft,TE,GB
Xavier Worthy,WR,KC
Trey McBride,TE,ARZ
Tyler Warren,TE,IND
Tee Higgins,WR,CIN
Quentin Johnston,WR,LAC
Jameson Williams,WR,DET
Ricky Pearsall,WR,SF
Trey Benson,RB,ARZ
Michael Pittman Jr.,WR,IND
Rachaad White,RB,TB
Keenan Allen,WR,LAC
Jordan Addison,WR,MIN
Terry McLaurin,WR,WAS
Chris Olave,WR,NO
DeVonta Smith,WR,PHI
Deebo Samuel,WR,WAS
George Kittle,TE,SF
Romeo Doubs,WR,GB
Aaron Jones Sr.,RB,MIN
Marvin Harrison Jr.,WR,ARZ
Brock Bowers,TE,LV
Kyle Monangai,RB,CHI
