week,year,parlay_id,leg_number,parlay_type,was_bet_on,player_name,position,team,opponent,home_away,prop_type,line,prediction,leg_confidence,parlay_raw_confidence,correlation_adjustment,parlay_adjusted_confidence,dvoa_score,matchup_score,volume_score,injury_score,trend_score,gamescript_score,variance_score,weather_score,bet_result
12,2024,CUST_W12_daf007ad_v1,1,custom,False,josh allen,QB,BUF,HOU,UNKNOWN,Pass Completions,19.5,OVER,66.0,66.5,0,50.0,10.0,7.5,6.5,5.0,5.5,5.8,5.8,0.0,
12,2024,CUST_W12_daf007ad_v1,2,custom,False,khalil shakir,WR,BUF,HOU,UNKNOWN,Receptions,4.5,OVER,67.0,66.5,0,50.0,10.0,7.0,7.5,5.0,6.5,5.8,5.8,0.0,
12,2024,TRAD_W12_48264d19_v1,1,traditional,False,khalil shakir,WR,BUF,HOU,AWAY,Receptions,4.5,OVER,67.0,66.5,4,70.0,10.0,7.0,7.5,5.0,6.5,5.8,5.8,0.0,
12,2024,TRAD_W12_48264d19_v1,2,traditional,False,drake maye,QB,NE,CIN,AWAY,Pass Completions,20.5,OVER,66.0,66.5,4,70.0,10.0,7.5,6.5,5.0,5.5,5.8,5.8,0.0,
12,2024,TRAD_W12_3a79a58d_v1,1,traditional,False,brock purdy,QB,SF,CAR,HOME,Pass Yds,249.5,OVER,66.0,66.0,4,70.0,10.0,7.5,6.5,5.0,5.0,5.8,6.2,0.0,
12,2024,TRAD_W12_3a79a58d_v1,2,traditional,False,trevor lawrence,QB,JAC,ARI,AWAY,Pass Yds,213.5,OVER,66.0,66.0,4,70.0,10.0,7.5,6.5,5.0,5.0,5.8,6.2,0.0,
12,2024,TRAD_W12_ad26e61d_v1,1,traditional,False,josh allen,QB,BUF,HOU,AWAY,Pass Completions,19.5,OVER,66.0,65.5,4,69.0,10.0,7.5,6.5,5.0,5.5,5.8,5.8,0.0,
12,2024,TRAD_W12_ad26e61d_v1,2,traditional,False,alvin kamara,RB,NO,ATL,HOME,Rush Attempts,15.5,OVER,65.0,65.5,4,69.0,5.0,7.5,4.0,10.0,5.0,4.5,5.0,0.0,
12,2024,TRAD_W12_8410be44_v1,1,traditional,False,christian mccaffrey,WR,SF,CAR,HOME,Rec Yds,42.5,OVER,65.0,64.3,4,68.0,10.0,7.5,6.5,5.0,5.0,5.8,5.5,0.0,
12,2024,TRAD_W12_8410be44_v1,2,traditional,False,hunter henry,WR,NE,CIN,AWAY,Rec Yds,40.5,OVER,65.0,64.3,4,68.0,10.0,7.0,6.8,5.0,5.0,5.8,5.5,0.0,
