BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,JAX,1,-61.56,-61.56,-65.34,-63.11,-55.23,-59.32
,LA,1,-43.52,-43.52,-64.16,-31.2,-22.79,-25.27
,DAL,1,-8.18,-8.18,-3.26,-31.18,-35.75,-54.42
,BUF,1,10.11,10.11,2.47,4.29,16.04,13.11
,SF,1,0.02,0.02,4.81,-4.77,-14.59,-21.95
,SEA,1,-34,-34,-41.32,-12.34,-26.38,-10.97
,PIT,1,-32.47,-32.47,-33.08,-40.37,-32.71,-22.16
,PHI,1,-34.77,-34.77,-38.89,-19.27,-27.86,-25.97
,GB,1,7.31,7.31,12.06,8.49,3.91,4.92
,BLT,1,-26.74,-26.74,-39.06,-84.65,-12.14,-29.59
,KC,1,5.23,5.23,15.15,13.56,-10.84,-12.85
,DEN,1,-6.28,-6.28,-13.36,10.73,13.68,24.26
,DET,1,-16.75,-16.75,-35.9,-13.86,-2.89,-3.29
,NE,1,12.69,12.69,15.75,-18.67,9.26,9.55
,ATL,1,24.59,24.59,57.49,39.84,-43.2,-39.44
,CHI,1,-10.74,-10.74,-22.04,-41.72,7.25,4.14
,CAR,1,26.71,26.71,49.32,48.03,8.02,13.84
,MIA,1,3.86,3.86,28.71,32.2,-16.69,-19.83
,WAS,1,7.01,7.01,13.9,7.62,2.65,2.03
,TB,1,20.75,20.75,34.02,47.36,2.42,24.04
,MIN,1,-12.31,-12.31,-12.85,-14.34,-11.89,-10.22
,NYG,1,27.45,27.45,26.82,47.61,28.17,29.35
,TEN,1,-3.45,-3.45,11.82,11.47,-26.96,-34.78
,HST,1,10.72,10.72,38.24,3.22,-60.21,-76.07
,NYJ,1,20.33,20.33,38.72,61.91,-3.1,-14.56
,ARZ,1,19.36,19.36,25.72,45.23,11.33,10.13
,CLV,1,-21.36,-21.36,-49.55,-45.22,2.5,7.02
,CIN,1,25.9,25.9,62.81,59.22,-10.66,-8.27
,LV,1,11.91,11.91,32.06,43.1,-15.14,-9.84
,LAC,1,12.64,12.64,31.45,26.82,2.05,7.92
