BASIC,BASIC,BASIC,DEFENSE,WR1,WR1,WR1,WR2,WR2,WR2,WR3,WR3,WR3,TE,TE,TE,RB,RB,RB
Rk,Tm,G,Defensive DVOA,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G
,SEA,1,-79.15,-184.21,2,4,-69.78,5,36,-501.8,0,0,36.61,6,59,-121.07,6,27
,GB,1,-10.54,55.64,7,144,172.4,2,35,29.1,4,36,-123.72,2,7,6.01,5,34
,BUF,1,-53.07,9.82,3,32,-86.24,0,0,-120.98,0,0,-93.75,3,51,-26.53,4,34
,CHI,1,-23.39,19.09,10,132,-62.03,5,48,-11.48,1,12,-37.3,2,27,-66.82,1,11
,DAL,1,0.8,21.64,4,61,9.91,8,92,44.9,3,24,41.93,5,45,62.76,3,39
,CAR,1,8.57,115.96,4,58,-86.86,6,72,75.51,3,82,-131,5,31,-101.15,0,0
,JAX,1,-30.32,-46.82,3,20,-79.13,1,5,9.33,3,36,-49.81,10,52,-44.29,7,28
,NE,1,-15.19,132.18,2,41,-50.81,8,38,0,0,0,-62.83,3,29,8.45,4,31
,LAC,1,-16.99,52.49,3,20,0.13,2,22,-72.41,2,22,138.53,5,71,-18.82,6,30
,ARZ,1,8.62,8.07,4,42,52.65,3,78,-41.82,2,10,61.55,4,22,39.57,5,42
,IND,1,-1.7,30.85,5,98,86.53,5,65,-56.89,2,39,-3.17,9,71,-30.29,1,3
,CIN,1,-26.45,-115.31,0,0,-131.63,2,6,-108.71,2,25,-5,10,159,84.74,3,56
,DEN,1,-7.07,-16.49,7,96,58.26,5,64,-59.95,1,5,27.46,13,129,-249.75,2,0
,MIA,1,-4.86,-70.25,4,47,121.15,8,93,-8.3,3,20,-13.86,8,57,80.53,3,22
,LA,1,28.1,136.64,1,43,-63.73,1,1,118.45,4,74,-25.18,4,22,185.09,5,66
,DET,1,8.21,-13.43,4,20,-20.84,4,80,49.32,6,94,-55.18,1,23,0.72,3,17
,CLV,1,-20.29,66.99,4,39,-26.36,2,14,-61.57,0,0,-3.32,4,67,23.35,6,48
,HST,1,-5.12,-64.52,1,13,127.01,4,78,-6.51,2,44,19.23,4,30,-26.73,3,36
,TB,1,8.63,29.29,6,69,-105.86,3,36,-5.18,2,14,35.22,10,99,89.99,8,83
,WAS,1,12.64,50.4,5,62,1.74,2,21,-77.34,5,50,25.7,9,126,13.51,8,62
,KC,1,18.84,66.67,7,112,-92.45,6,88,61.92,5,62,-10.47,6,37,147.39,3,21
,ATL,1,23.3,-56.39,4,19,33.57,8,102,1.51,1,10,-3.03,4,33,-85.84,2,8
,SF,1,19.35,50.73,3,26,-64.33,0,0,55.68,3,41,1.32,5,47,43.36,6,35
,NYJ,1,18,0,0,0,-13.76,2,25,25.09,5,41,83.55,7,82,-3.79,7,86
,NYG,1,11.04,0.7,3,26,-5.96,4,35,37.32,7,89,45.08,4,73,30.98,6,59
,PHI,1,6.19,-60.98,2,8,-40.01,2,17,6.28,6,52,-2.2,6,64,-272,1,13
,NO,1,2.86,-71.18,3,40,-5.78,4,30,73.58,1,16,29.05,4,71,-83.54,0,0
,PIT,1,-24.62,59.01,2,9,-110.81,1,5,-227.82,2,18,-16.97,4,38,27.35,6,53
,LV,1,10.4,98.32,3,23,12.46,4,30,-29.04,7,69,93.39,1,27,140.92,1,11
,BLT,1,-0.5,3.84,7,110,88.2,1,29,-27.69,2,22,10.69,5,50,72.37,9,50
,MIN,1,-41.15,-52.86,2,23,-9.36,3,24,-4.12,2,28,24.44,4,35,-9.9,3,18
,TEN,1,5.08,45.93,2,28,135.22,6,90,2.03,2,37,45.44,4,59,42.11,2,15
