BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,CHI,1,31.04,31.04,64.82,51.44,27.99,13.1
,JAX,1,40.74,40.74,90.97,129.85,-32.57,-32.1
,BLT,1,18,18,-3.82,27.11,34.01,52.16
,LA,1,59.6,59.6,60.64,49.79,58.1,53.21
,PHI,1,16,16,95,101.92,-22.15,-21.9
,DEN,1,33.04,33.04,90.32,89.26,-14.15,-17.8
,SEA,1,5.24,5.24,33.92,30.14,-30.27,-32.43
,HST,1,23.57,23.57,85.23,87.27,-20.01,-11.24
,LAC,1,1.76,1.76,14.45,10.95,-9.93,-16.81
,DET,1,47.75,47.75,71.62,57.47,0.65,-9.82
,PIT,1,13.08,13.08,31.46,44.73,1.63,-5.86
,NE,1,41.41,41.41,25.65,18.7,65.82,81.32
,ATL,1,21.46,21.46,63.68,61.13,27.5,25.82
,IND,1,-4.62,-4.62,14.04,-8.33,-3.43,-24.85
,MIN,1,2.38,2.38,35.03,55.87,-27.25,-14.64
,DAL,1,22.83,22.83,26.35,15.2,25.62,22.17
,NO,1,1.68,1.68,40.96,40.66,-29.95,-25.14
,KC,1,-13.16,-13.16,10.84,-6.78,-36.6,-38.34
,SF,1,22.77,22.77,84.68,105.32,-20.52,-14.91
,TEN,1,15.88,15.88,5.14,12.31,27.52,34.47
,TB,1,13,13,27.48,22.22,-9.27,-7.89
,BUF,1,21.47,21.47,26.18,41.33,24.63,32.04
,MIA,1,-5.23,-5.23,10.38,3.41,-20.36,-23.11
,GB,1,14.22,14.22,35.27,19.24,5.03,-4
,WAS,1,-20.31,-20.31,41.49,42.95,-50.09,-23.65
,ARZ,1,10.87,10.87,23.18,-5.04,-7.68,-16.24
,CAR,1,2.75,2.75,21.5,24.66,-7.56,-15.87
,NYG,1,-18.68,-18.68,-8.32,9.41,-20.75,-18.39
,LV,1,-63.74,-63.74,-68.63,-85.65,-53.69,-52.62
,NYJ,1,-35.92,-35.92,-41.87,-51.88,-22.85,-31.8
,CIN,1,-50.85,-50.85,-65.36,-62.22,-27.76,-34.83
,CLV,1,-109.51,-109.51,-104.6,-100.39,-96.17,-82.98
