BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,TreVeyon Henderson,NE,RB,1,14,148,10.571,2,0,0,25,46.296,56,16,41.026,16,31.373,66.667,41.026,31.373,14,16
,James Cook,BUF,RB,1,22,107,4.864,2,0,0,47,67.143,59.459,24,42.857,24,35.821,84.615,42.857,35.821,22,24
,Tony Pollard,TEN,RB,1,14,104,7.429,1,0,0,26,53.061,70,15,39.474,15,30.612,73.684,39.474,30.612,14,15
,Jawhar Jordan,HST,RB,1,15,101,6.733,0,0,0,28,43.077,45.455,17,30.909,17,26.984,55.556,30.909,26.984,15,17
,Derrick Henry,BLT,RB,1,11,100,9.091,0,0,0,15,35.714,45.833,11,34.375,11,27.5,57.895,34.375,27.5,11,11
,D'Andre Swift,CHI,RB,1,18,98,5.444,2,0,0,37,56.923,54.545,19,38,19,29.688,60,38,29.688,18,19
,Jacory Croskey-Merritt,WAS,RB,1,18,96,5.333,1,1,0,30,47.619,48.649,18,38.298,18,31.034,66.667,38.298,31.034,18,18
,Bijan Robinson,ATL,RB,1,19,93,4.895,1,0,0,58,87.879,90.476,27,52.941,27,40.909,90.476,52.941,40.909,19,27
,Javonte Williams,DAL,RB,1,15,91,6.067,1,0,0,20,28.986,51.724,15,28.846,15,21.739,53.571,28.846,21.739,15,15
,Jonathan Taylor,IND,RB,1,25,87,3.48,0,0,0,49,84.483,83.333,28,58.333,28,48.276,83.333,58.333,48.276,25,28
,Kenneth Gainwell,PIT,RB,1,13,80,6.154,0,0,0,32,51.613,40.625,20,36.364,20,32.258,40.625,36.364,32.258,13,20
,Saquon Barkley,PHI,RB,1,22,78,3.545,1,0,0,37,53.623,46.809,24,38.71,24,36.364,56.41,38.71,36.364,22,24
,Kyren Williams,LA,RB,1,15,78,5.2,2,0,0,37,52.857,51.724,16,30.189,16,23.188,53.571,30.189,23.188,15,16
,Josh Jacobs,GB,RB,1,12,73,6.083,1,0,0,34,51.515,60,14,31.818,14,22.222,70.588,31.818,22.222,12,14
,Christian McCaffrey,SF,RB,1,22,73,3.318,1,0,0,59,78.667,57.895,23,37.705,23,32.857,70.968,37.705,32.857,22,23
,Blake Corum,LA,RB,1,11,71,6.455,1,0,0,32,45.714,37.931,11,20.755,11,15.942,39.286,20.755,15.942,11,11
,Tyrone Tracy Jr.,NYG,RB,1,15,70,4.667,1,0,0,51,69.863,51.724,18,36.735,18,26.866,75,36.735,26.866,15,18
,Keaton Mitchell,BLT,RB,1,8,66,8.25,0,0,0,13,30.952,33.333,8,25,8,20,42.105,25,20,8,8
,RJ Harvey,DEN,RB,1,19,65,3.421,1,1,1,44,65.672,61.29,19,35.185,19,29.231,79.167,35.185,29.231,19,19
,Jaxson Dart,NYG,QB,1,9,63,7,0,1,0,71,97.26,31.034,9,18.367,9,13.433,0,0,0,9,9
,Omarion Hampton,LAC,RB,1,15,61,4.067,0,0,0,23,37.097,51.724,16,33.333,16,25.806,55.556,33.333,25.806,15,16
,Bucky Irving,TB,RB,1,16,60,3.75,0,0,0,39,62.903,72.727,17,41.463,17,27.869,76.19,41.463,27.869,16,17
,De'Von Achane,MIA,RB,1,12,60,5,0,0,0,40,81.633,75,18,47.368,18,37.5,80,47.368,37.5,12,18
,Isaiah Davis,NYJ,RB,1,9,58,6.444,1,0,0,26,35.616,28.125,10,18.519,10,14.706,34.615,18.519,14.706,9,10
,Tank Bigsby,PHI,RB,1,17,57,3.353,0,0,0,27,39.13,36.17,17,27.419,17,25.758,43.59,27.419,25.758,17,17
,Michael Carter,ARZ,RB,1,14,56,4,0,0,0,51,79.688,66.667,18,37.5,18,28.571,77.778,37.5,28.571,14,18
,Chase Brown,CIN,RB,1,13,53,4.077,0,0,0,44,60.274,44.828,20,37.037,20,28.169,48.148,37.037,28.169,13,20
,Trevor Lawrence,JAX,QB,1,5,51,10.2,1,0,0,54,85.714,18.519,5,10.638,5,8.475,0,0,0,5,5
