BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,PIT,1,-37.68,-37.68,-24.07,-9.48,-96.52,-93.21
,SF,1,-16.54,-16.54,3.86,18.57,-47.87,-30.77
,LA,1,-15.16,-15.16,-56.32,-27.89,43.83,42.92
,CIN,1,-13.2,-13.2,-7.97,-16.87,-17.61,-19.46
,TEN,1,-39.43,-39.43,-53.65,-41.87,-13.66,-10.71
,PHI,1,-19.55,-19.55,-27.04,-31.18,-14.06,-16.79
,JAX,1,0.87,0.87,-5.02,-1.83,16.67,20.14
,LAC,1,3.47,3.47,22.59,35.4,-26.73,-24.15
,BUF,1,10.9,10.9,-4.38,-51.04,23.31,8.2
,SEA,1,-8.95,-8.95,16.46,50.44,-37.83,-17.06
,CHI,1,3.6,3.6,14.18,39.33,-5.25,-2.91
,CAR,1,-2.1,-2.1,6.84,7.02,-9.97,-14.51
,MIN,1,-46.96,-46.96,-149.1,-152.55,0.31,-3.16
,BLT,1,0.81,0.81,-3.62,18.7,12.13,8.23
,DEN,1,8.82,8.82,39.09,46.71,-36.4,-35.18
,NO,1,-24.05,-24.05,-33.77,-74.9,-7.65,-15.87
,ATL,1,-3.69,-3.69,-16.79,-21.68,13.27,1.83
,LV,1,2.04,2.04,18.56,24.11,-26.15,-38.98
,NE,1,28.72,28.72,32.67,28.9,26.52,30.88
,GB,1,6.6,6.6,21.16,27.94,-13.04,-3.55
,ARZ,1,2.92,2.92,6.82,4.01,-0.63,2.84
,HST,1,7.74,7.74,16.29,-12.56,0.04,-22.95
,DET,1,23.81,23.81,4.31,2.32,56.49,62.02
,IND,1,26.33,26.33,39.1,64.84,10.8,8.79
,CLV,1,6.89,6.89,-23.85,-14.01,33.51,51.63
,DAL,1,52.23,52.23,80.71,85.12,19.01,12.88
,TB,1,24.29,24.29,32.2,17.86,10.86,11.52
,WAS,1,34.16,34.16,28.9,38.5,40.46,36.66
,NYG,1,1.41,1.41,0.96,-29.8,1.83,-2.54
,NYJ,1,16.75,16.75,28.75,10.91,-11.22,-29.03
,MIA,1,40.83,40.83,72.5,67.47,-1.06,-0.28
,KC,1,25.79,25.79,64.23,38.32,-5.03,-10.04
