BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT/G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,FD,300Yd,RTG,EPA,EPA/DB,DYAR,DVOA,FPTS,PPG
,Matthew Stafford,LA,QB,15,944,98.539,34.6,544,519,341,65.703,"4,179",8.052,40,5,212,4,112.062,144.847,0.266,"1,808",37.16,412.38,27.492
,Dak Prescott,DAL,QB,15,980,97.61,36.8,601,552,378,68.478,"4,175",7.563,28,10,202,5,100.023,113.27,0.188,"1,246.357",20.58,379.64,25.309
,Jared Goff,DET,QB,15,915,98.176,33.8,543,507,348,68.639,"4,036",7.961,32,5,194,5,109.381,105.665,0.195,"1,291.196",26.15,358.58,23.905
,Drake Maye,NE,QB,15,968,98.675,30.2,554,453,321,70.861,"3,947",8.713,25,8,182,1,108.476,133.031,0.24,996.29,19.23,379.96,25.331
,Sam Darnold,SEA,QB,15,855,95.745,28.267,457,424,285,67.217,"3,703",8.733,24,13,162,2,100.58,75.056,0.164,921.486,20.67,302.46,20.164
,Bo Nix,DEN,QB,15,987,99.899,36.733,593,551,348,63.158,"3,608",6.548,24,10,179,4,88.956,56.006,0.094,486.466,2.07,345.4,23.027
,Patrick Mahomes,KC,QB,14,941,92.984,35.857,588,502,315,62.749,"3,587",7.145,22,11,176,2,89.625,81.111,0.138,665.517,7.8,373.64,26.689
,Justin Herbert,LAC,QB,15,982,96.94,32,573,480,319,66.458,"3,491",7.273,25,12,167,4,94.714,25.136,0.044,236.564,-4.18,339.44,22.629
,Trevor Lawrence,JAX,QB,15,964,96.016,32.867,567,493,296,60.041,"3,489",7.077,26,11,169,1,89.888,40.675,0.072,498.65,3.7,376.52,25.101
,Josh Allen,BUF,QB,15,960,97.561,28.333,506,425,296,69.647,"3,406",8.014,25,10,167,3,103.319,91.033,0.18,617.605,8.72,435.26,29.017
,Caleb Williams,CHI,QB,15,"1,014",98.83,32.867,554,493,285,57.809,"3,400",6.897,23,6,163,0,89.473,32.126,0.058,416.793,1.49,340.54,22.703
,Jordan Love,GB,QB,15,881,93.326,29.267,484,439,291,66.287,"3,381",7.702,23,6,160,2,101.182,127.581,0.264,"1,068.875",24.58,298.2,19.88
,Baker Mayfield,TB,QB,15,941,96.513,31.8,543,477,294,61.635,"3,144",6.591,23,8,147,1,89.994,5.239,0.01,190.554,-5.34,299.24,19.949
,Jalen Hurts,PHI,QB,15,908,97.216,28.467,497,427,281,65.808,"3,114",7.293,24,6,145,1,100.19,43.902,0.088,617.906,9.68,355.36,23.691
,Daniel Jones,IND,QB,13,736,79.826,29.538,428,384,261,67.969,"3,101",8.076,19,8,150,2,100.184,67.291,0.157,857.907,21.08,291.72,22.44
,Jacoby Brissett,ARZ,QB,11,684,68.195,37.909,470,417,272,65.228,"2,911",6.981,19,7,146,4,93.72,5.79,0.012,460.206,5.25,243.82,22.165
,Cam Ward,TEN,QB,15,900,100.111,33.133,568,497,299,60.161,"2,866",5.767,13,7,142,0,79.095,-98.644,-0.174,-470.561,-24.81,197.7,13.18
,Aaron Rodgers,PIT,QB,14,753,87.456,29.429,447,412,275,66.748,"2,860",6.942,23,7,122,0,98.159,27.296,0.061,301.018,-0.22,231.6,16.543
,Geno Smith,LV,QB,14,788,92.488,30,489,420,282,67.143,"2,849",6.783,18,15,141,1,85.704,-51.739,-0.106,-303.959,-20.93,220.72,15.766
,Bryce Young,CAR,QB,14,843,89.776,29.929,472,419,266,63.484,"2,691",6.422,21,9,138,2,89.504,11.708,0.025,-69.611,-13.46,248.48,17.749
,Tua Tagovailoa,MIA,QB,14,758,88.759,27.429,425,384,260,67.708,"2,660",6.927,20,15,144,1,88.455,4.604,0.011,180.356,-4.29,212.34,15.167
,C.J. Stroud,HST,QB,12,731,73.615,31,419,372,243,65.323,"2,628",7.065,16,6,122,1,93.571,50.852,0.121,544.022,10.72,238.1,19.842
,Joe Flacco,CIN,QB,11,645,69.504,37.364,432,411,248,60.341,"2,455",5.973,15,10,118,2,79.283,-41.926,-0.097,-232.139,-19.44,181.26,16.478
,Lamar Jackson,BLT,QB,12,655,73.928,23.667,347,284,181,63.732,"2,311",8.137,18,6,106,0,101.423,8.138,0.023,198.807,-1.34,247.22,20.602
,Mac Jones,SF,QB,8,534,53.831,36.125,313,289,201,69.55,"2,151",7.443,13,6,108,3,97.398,39.454,0.126,610.201,20.11,172.22,21.527
,Michael Penix Jr.,ATL,QB,9,537,56.646,30.667,302,276,166,60.145,"1,982",7.181,9,3,101,1,88.466,8.174,0.027,298.294,5.08,163.74,18.193
,Jaxson Dart,NYG,QB,10,630,63.126,27.7,338,277,172,62.094,"1,835",6.625,13,5,79,0,89.553,4.662,0.014,182.88,-1.58,274.32,27.432
,Tyler Shough,NO,QB,9,485,49.039,29.444,305,265,176,66.415,"1,792",6.762,7,5,86,1,86.549,-9.122,-0.03,-47.095,-13.66,142.88,15.876
,Brock Purdy,SF,QB,7,456,45.968,32,243,224,154,68.75,"1,737",7.754,17,8,106,1,102.102,64.881,0.267,677.107,32.9,172.06,24.58
,Marcus Mariota,WAS,QB,10,501,53.185,22.7,261,227,139,61.233,"1,695",7.467,10,7,80,0,86.059,2.867,0.011,30.189,-9.21,167,16.7
,Spencer Rattler,NO,QB,9,480,48.534,28.556,291,257,174,67.704,"1,586",6.171,8,5,77,0,86.487,-26.902,-0.092,-22.975,-12.45,133.18,14.798
,J.J. McCarthy,MIN,QB,9,472,54.63,24.444,263,220,126,57.273,"1,450",6.591,11,12,73,0,71.212,-51.154,-0.195,-369.543,-33.8,138.32,15.369
,Kirk Cousins,ATL,QB,8,411,43.354,27.125,227,217,135,62.212,"1,415",6.521,8,4,68,1,85.705,6.256,0.028,4.695,-10.81,100.56,12.57
,Joe Burrow,CIN,QB,6,336,36.207,31.5,207,189,120,63.492,"1,268",6.709,12,4,70,1,95.293,27.139,0.131,205.814,4.31,112.16,18.693
,Jayden Daniels,WAS,QB,7,417,44.268,26.857,244,188,114,60.638,"1,262",6.713,8,3,59,0,88.121,4.179,0.017,97.283,-3.72,148.64,21.234
,Justin Fields,NYJ,QB,9,506,52.874,22.667,259,204,128,62.745,"1,242",6.088,7,1,58,0,89.134,-26.852,-0.104,-264.665,-29.34,186.36,20.707
,Carson Wentz,MIN,QB,5,295,34.144,33.8,197,169,110,65.089,"1,216",7.195,6,5,59,2,85.811,10.844,0.055,20.805,-9.44,102.28,20.456
,Shedeur Sanders,CLV,QB,6,324,33.927,27.833,195,167,92,55.09,"1,103",6.605,6,8,42,1,67.527,-57.582,-0.295,-501.928,-59.43,80.98,13.497
,Kyler Murray,ARZ,QB,5,314,31.306,32.2,193,161,110,68.323,962,5.975,6,3,50,0,88.574,14.988,0.078,19.309,-9.47,113.18,22.636
,Dillon Gabriel,CLV,QB,10,363,38.01,18.5,215,185,110,59.459,937,5.065,7,2,45,0,80.845,-30.246,-0.141,-292.775,-35.21,86.18,8.618
