BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,TAR/G,REC/G,YDS/G,SNP,SNP%,RT,RT%,TAR%,FRD,FRDR,FRD%,OPP,OPP%
,Puka Nacua,LA,WR,1,16,12,225,2,16,12,225,71,78.889,43,87.755,32.653,14,87.5,27.451,16,18.182
,Chris Olave,NO,WR,1,16,10,148,2,16,10,148,60,75,45,84.906,30.189,13,81.25,23.636,16,20.513
,Parker Washington,JAX,WR,1,10,6,145,1,10,6,145,37,52.857,28,68.293,24.39,6,60,13.953,10,14.706
,Stefon Diggs,NE,WR,1,10,9,138,0,10,9,138,41,55.405,38,79.167,20.833,7,70,13.725,10,14.085
,George Pickens,DAL,WR,1,9,7,130,1,9,7,130,51,86.441,33,100,27.273,7,77.778,19.444,9,16.071
,George Kittle,SF,TE,1,8,7,115,1,8,7,115,41,61.194,24,68.571,22.857,6,75,16.667,8,12.121
,Ja'Marr Chase,CIN,WR,1,11,9,109,0,11,9,109,53,85.484,33,94.286,31.429,8,72.727,22.222,11,18.033
,Quentin Johnston,LAC,WR,1,5,4,104,1,5,4,104,37,56.061,21,72.414,17.241,4,80,12.121,5,8.065
,DJ Moore,CHI,WR,1,7,5,97,1,7,5,97,57,90.476,32,94.118,20.588,4,57.143,10.811,8,13.333
,Jaxon Smith-Njigba,SEA,WR,1,13,8,96,1,13,8,96,59,90.769,37,97.368,34.211,9,69.231,22.5,13,20.635
,A.J. Brown,PHI,WR,1,12,9,95,0,12,9,95,58,81.69,32,100,37.5,11,91.667,29.73,12,18.182
,Bijan Robinson,ATL,RB,1,11,7,92,1,11,7,92,51,69.863,33,91.667,30.556,1,9.091,2.778,27,36.986
,Elijah Higgins,ARZ,TE,1,8,7,91,0,8,7,91,34,60.714,25,75.758,24.242,1,12.5,3.03,8,14.286
,Juwan Johnson,NO,TE,1,9,8,89,0,9,8,89,50,62.5,35,66.038,16.981,4,44.444,7.273,9,11.538
,Courtland Sutton,DEN,WR,1,12,6,86,1,12,6,86,62,93.939,46,95.833,25,8,66.667,16.327,12,18.462
,Alec Pierce,IND,WR,1,4,4,86,2,4,4,86,56,96.552,37,97.368,10.526,4,100,10.526,4,6.897
,Justin Jefferson,MIN,WR,1,8,6,85,0,8,6,85,54,90,27,100,29.63,7,87.5,24.138,8,13.793
,Romeo Doubs,GB,WR,1,6,5,84,1,6,5,84,41,54.667,18,69.231,23.077,6,100,19.355,6,8.571
,Zay Flowers,BLT,WR,1,7,7,84,0,7,7,84,47,85.455,21,100,33.333,3,42.857,13.636,8,14.815
,Kenneth Gainwell,PIT,RB,1,7,5,78,1,7,5,78,38,52.778,27,62.791,16.279,5,71.429,11.111,16,22.857
,Tetairoa McMillan,CAR,WR,1,10,6,73,1,10,6,73,47,83.929,30,88.235,29.412,9,90,25,10,18.519
,Jaylen Waddle,MIA,WR,1,9,5,72,0,9,5,72,41,69.492,23,76.667,30,8,88.889,25.806,9,15.517
,RJ Harvey,DEN,RB,1,5,4,71,0,5,4,71,37,56.061,28,58.333,10.417,2,40,4.082,12,18.462
,Jauan Jennings,SF,WR,1,6,5,71,1,6,5,71,54,80.597,32,91.429,17.143,6,100,16.667,6,9.091
,Jameson Williams,DET,WR,1,9,5,70,0,9,5,70,65,94.203,55,96.491,15.789,6,66.667,10.526,9,13.043
,Mack Hollins,NE,WR,1,9,7,69,0,9,7,69,47,63.514,33,68.75,18.75,7,77.778,13.725,9,12.676
,Troy Franklin,DEN,WR,1,5,4,66,0,5,4,66,40,60.606,34,70.833,10.417,4,80,8.163,5,7.692
,Jahmyr Gibbs,DET,RB,1,13,10,66,1,13,10,66,58,84.058,51,89.474,22.807,4,30.769,7.018,20,28.986
,Josh Downs,IND,WR,1,9,5,65,0,9,5,65,45,77.586,33,86.842,23.684,9,100,23.684,10,17.241
,Kenneth Walker III,SEA,RB,1,3,3,64,0,3,3,64,27,41.538,14,36.842,7.895,0,0,0,14,22.222
,Kalif Raymond,DET,WR,1,5,4,62,1,5,4,62,18,26.087,18,31.579,8.772,2,40,3.509,,
,Ashton Jeanty,LV,RB,1,2,1,60,1,2,1,60,49,92.453,23,88.462,7.692,2,100,7.692,26,49.057
,Nico Collins,HST,WR,1,9,4,59,0,9,4,59,48,77.419,29,82.857,25.714,9,100,25,9,14.754
,Elic Ayomanor,TEN,WR,1,4,3,58,0,4,3,58,40,56.338,17,56.667,13.333,4,100,12.903,4,5.714
,Xavier Smith,LA,WR,1,2,2,57,0,2,2,57,20,22.222,17,34.694,4.082,1,50,1.961,2,2.273
,Kyle Pitts,ATL,TE,1,9,7,57,1,9,7,57,63,86.301,34,94.444,25,3,33.333,8.333,9,12.329
,Tre Harris,LAC,WR,1,5,4,54,0,5,4,54,28,42.424,16,55.172,17.241,3,60,9.091,5,8.065
,Amon-Ra St. Brown,DET,WR,1,9,4,54,0,9,4,54,67,97.101,56,98.246,15.789,5,55.556,8.772,9,13.043
,Terry McLaurin,WAS,WR,1,4,3,53,0,4,3,53,44,86.275,24,96,16,4,100,16,4,7.843
,Tyjae Spears,TEN,RB,1,5,5,53,0,5,5,53,33,46.479,16,53.333,16.667,1,20,3.226,18,25.714
,Tee Higgins,CIN,WR,1,3,3,53,1,3,3,53,38,61.29,28,80,8.571,3,100,8.333,3,4.918
,Isaiah Davis,NYJ,RB,1,4,4,52,0,4,4,52,24,37.5,21,48.837,9.302,0,0,0,7,11.111
,Michael Wilson,ARZ,WR,1,3,2,52,1,3,2,52,48,85.714,26,78.788,9.091,0,0,0,3,5.357
,Isaac TeSlaa,DET,WR,1,7,4,52,1,7,4,52,38,55.072,34,59.649,12.281,5,71.429,8.772,7,10.145
,CeeDee Lamb,DAL,WR,1,7,6,51,0,7,6,51,48,81.356,31,93.939,21.212,6,85.714,16.667,7,12.5
,AJ Barner,SEA,TE,1,6,4,49,1,6,4,49,59,90.769,37,97.368,15.789,5,83.333,12.5,7,11.111
,Adam Thielen,PIT,WR,1,4,4,49,0,4,4,49,30,41.667,17,39.535,9.302,3,75,6.667,4,5.714
,Jalen Coker,CAR,WR,1,5,3,47,0,5,3,47,44,78.571,29,85.294,14.706,4,80,11.111,5,9.259
,Kyle Williams,NE,WR,1,3,2,46,1,3,2,46,23,31.081,13,27.083,6.25,1,33.333,1.961,3,4.225
,Greg Dulcich,MIA,TE,1,3,3,46,0,3,3,46,17,28.814,11,36.667,10,2,66.667,6.452,3,5.172
,Jakobi Meyers,JAX,WR,1,8,4,45,0,8,4,45,57,81.429,40,97.561,19.512,6,75,13.953,9,13.235
,Keenan Allen,LAC,WR,1,5,5,44,0,5,5,44,29,43.939,14,48.276,17.241,3,60,9.091,5,8.065
,Chig Okonkwo,TEN,TE,1,8,6,44,1,8,6,44,30,42.254,19,63.333,26.667,2,25,6.452,8,11.429
,Kyle Monangai,CHI,RB,1,4,3,43,0,4,3,43,25,39.683,14,41.176,11.765,0,0,0,13,21.667
,Ladd McConkey,LAC,WR,1,6,4,43,1,6,4,43,48,72.727,27,93.103,20.69,4,66.667,12.121,6,9.677
,Adonai Mitchell,NYJ,WR,1,6,3,43,0,6,3,43,54,84.375,37,86.047,13.953,5,83.333,11.364,6,9.524
,Jack Bech,LV,WR,1,3,2,43,0,3,2,43,37,69.811,17,65.385,11.538,3,100,11.538,3,5.66
,Tre Tucker,LV,WR,1,5,4,43,0,5,4,43,53,100,26,100,19.231,4,80,15.385,7,13.208
,Chase Brown,CIN,RB,1,4,4,43,2,4,4,43,37,59.677,24,68.571,11.429,2,50,5.556,16,26.23
,DeVonta Smith,PHI,WR,1,8,6,42,1,8,6,42,56,78.873,32,100,25,6,75,16.216,8,12.121
,Pat Bryant,DEN,WR,1,8,5,42,0,8,5,42,42,63.636,30,62.5,16.667,5,62.5,10.204,8,12.308
,DK Metcalf,PIT,WR,1,9,4,42,0,9,4,42,62,86.111,38,88.372,20.93,5,55.556,11.111,9,12.857
,DeAndre Hopkins,BLT,WR,1,5,4,41,0,5,4,41,20,36.364,10,47.619,23.81,3,60,13.636,5,9.259
,Xavier Worthy,KC,WR,1,3,2,41,0,3,2,41,36,78.261,26,92.857,10.714,3,100,9.677,4,9.302
,Isiah Pacheco,KC,RB,1,7,6,41,0,7,6,41,31,67.391,21,75,25,4,57.143,12.903,15,34.884
,Konata Mumpfield,LA,WR,1,8,3,40,0,8,3,40,39,43.333,26,53.061,16.327,5,62.5,9.804,8,9.091
,Emeka Egbuka,TB,WR,1,2,1,40,0,2,1,40,35,55.556,13,46.429,7.143,0,0,0,2,3.279
,Chimere Dike,TEN,WR,1,5,3,40,1,5,3,40,41,57.746,22,73.333,16.667,4,80,12.903,5,7.143
,Anthony Firkser,DET,TE,1,4,4,40,0,4,4,40,24,34.783,19,33.333,7.018,2,50,3.509,4,5.797
,Darren Waller,MIA,TE,1,5,3,40,0,5,3,40,28,47.458,17,56.667,16.667,4,80,12.903,5,8.621
,Cooper Kupp,SEA,WR,1,4,3,39,0,4,3,39,57,87.692,34,89.474,10.526,3,75,7.5,4,6.349
,Brenton Strange,JAX,TE,1,7,5,39,1,7,5,39,52,74.286,33,80.488,17.073,3,42.857,6.977,7,10.294
,Luke Musgrave,GB,TE,1,3,3,38,0,3,3,38,52,69.333,24,92.308,11.538,3,100,9.677,3,4.286
,Trayveon Williams,CLV,RB,1,4,4,38,0,4,4,38,20,29.412,15,45.455,12.121,0,0,0,7,10.938
,Christian Kirk,HST,WR,1,5,3,37,0,5,3,37,36,58.065,22,62.857,14.286,4,80,11.111,5,8.197
,Taysom Hill,NO,QB,1,6,4,36,0,6,4,36,34,42.5,19,35.849,11.321,1,16.667,1.818,18,23.077
,Evan Engram,DEN,TE,1,4,2,36,0,4,2,36,29,43.939,28,58.333,8.333,2,50,4.082,4,6.154
,Darnell Washington,PIT,TE,1,4,3,36,0,4,3,36,47,65.278,23,53.488,9.302,3,75,6.667,4,5.714
,Jayden Reed,GB,WR,1,3,3,35,0,3,3,35,45,60,21,80.769,11.538,1,33.333,3.226,4,5.714
,Deebo Samuel Sr.,WAS,WR,1,4,3,35,0,4,3,35,41,80.392,24,96,16,2,50,8,4,7.843
,Hunter Henry,NE,TE,1,7,6,35,1,7,6,35,53,71.622,38,79.167,14.583,2,28.571,3.922,7,9.859
,Dalton Schultz,HST,TE,1,5,5,35,1,5,5,35,40,64.516,29,82.857,14.286,3,60,8.333,5,8.197
,Mike Gesicki,CIN,TE,1,4,3,35,1,4,3,35,28,45.161,23,65.714,11.429,3,75,8.333,4,6.557
