BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,WIDE,OW%,WYPR,SLOT,SLOT%,SYPR,BACK,BACK%,BYPR,LINE,LINE%,IYPR,OFF,OFF%,OYPR
,George  Pickens,DAL,WR,1,11,9,168,1,23,71.875,6.261,9,28.125,2.667,0,0,0,0,0,0,0,0,0
,Jaxon  Smith-Njigba,SEA,WR,1,13,8,162,1,24,88.889,6.792,2,7.407,-0.5,1,3.704,0,0,0,0,0,0,0
,Drake  London,ATL,WR,1,16,10,158,1,26,76.471,4.385,8,23.529,5.5,0,0,0,0,0,0,0,0,0
,Kendrick  Bourne,SF,WR,1,9,5,142,0,34,87.179,4.176,5,12.821,0,0,0,0,0,0,0,0,0,0
,Dallas  Goedert,PHI,TE,1,11,9,110,1,10,31.25,1.8,9,28.125,4,0,0,0,4,12.5,6,9,28.125,3.556
,Ladd  McConkey,LAC,WR,1,9,7,100,1,13,39.394,6.077,20,60.606,1.05,0,0,0,0,0,0,0,0,0
,Chris  Olave,NO,WR,1,10,6,98,0,9,33.333,8.556,17,62.963,0.941,1,3.704,5,0,0,0,0,0,0
,Jaylen  Waddle,MIA,WR,1,8,6,95,0,25,89.286,3.8,3,10.714,0,0,0,0,0,0,0,0,0,0
,DK  Metcalf,PIT,WR,1,9,4,95,1,19,73.077,5,7,26.923,0,0,0,0,0,0,0,0,0,0
,Ja'Marr  Chase,CIN,WR,1,12,10,94,1,33,75,2.424,11,25,1.273,0,0,0,0,0,0,0,0,0
,Kayshon  Boutte,NE,WR,1,5,5,93,2,18,85.714,3.556,3,14.286,9.667,0,0,0,0,0,0,0,0,0
,Brian  Thomas Jr.,JAX,WR,1,10,8,90,1,36,85.714,2.25,6,14.286,1.5,0,0,0,0,0,0,0,0,0
,Matthew  Golden,GB,WR,1,5,3,86,0,6,33.333,9.167,12,66.667,2.583,0,0,0,0,0,0,0,0,0
,Wan'Dale  Robinson,NYG,WR,1,7,6,84,1,11,40.741,3.727,15,55.556,2.867,1,3.704,0,0,0,0,0,0,0
,Harold  Fannin Jr.,CLV,TE,1,10,7,81,0,6,12.5,0,31,64.583,1.774,1,2.083,0,1,2.083,18,9,18.75,0.889
,A.J.  Brown,PHI,WR,1,9,6,80,0,27,77.143,2.63,8,22.857,1.125,0,0,0,0,0,0,0,0,0
,Zay  Jones,ARZ,WR,1,8,5,79,0,29,74.359,2.724,10,25.641,0,0,0,0,0,0,0,0,0,0
,Travis  Kelce,KC,TE,1,7,6,78,0,5,20,2.6,10,40,4.8,1,4,17,5,20,0,4,16,0
,Van  Jefferson,TEN,WR,1,6,4,75,0,32,96.97,2.344,1,3.03,0,0,0,0,0,0,0,0,0,0
,Trey  McBride,ARZ,TE,1,11,8,72,1,7,16.667,0.571,21,50,1.429,0,0,0,11,26.19,1.909,3,7.143,5.667
,AJ  Barner,SEA,TE,1,3,3,71,0,0,0,0,2,9.524,0,2,9.524,0,2,9.524,0,15,71.429,4.733
,DeMario  Douglas,NE,WR,1,4,3,71,1,4,36.364,13.25,6,54.545,3,1,9.091,0,0,0,0,0,0,0
,Tre  Tucker,LV,WR,1,5,5,70,0,19,79.167,3,4,16.667,0,0,0,0,0,0,0,1,4.167,13
,Oronde  Gadsden II,LAC,TE,1,8,7,68,0,5,15.625,0,10,31.25,0.7,0,0,0,6,18.75,3.5,11,34.375,3.636
,Bijan  Robinson,ATL,RB,1,8,6,68,0,4,15.385,0,8,30.769,5,14,53.846,2,0,0,0,0,0,0
,D'Andre  Swift,CHI,RB,1,3,2,67,1,1,5.556,0,0,0,0,17,94.444,3.941,0,0,0,0,0,0
