BASIC,BASIC,BASIC,DEFENSE,WR1,WR1,WR1,WR2,WR2,WR2,WR3,WR3,WR3,TE,TE,TE,RB,RB,RB
Rk,Tm,G,Defensive DVOA,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G
,BUF,1,-18.6,-64.1,3,23,3.03,4,80,11.28,3,75,33.27,4,66,-58.11,1,6
,SEA,1,-21.32,-19.58,5,41,-64.57,3,29,79.08,1,14,18.91,6,66,-38.71,1,3
,PIT,1,-59.49,-49.72,9,122,-58.74,6,50,-39.85,7,122,-60.25,5,26,-66.91,4,22
,LA,1,-10.1,66.13,3,57,-57.83,5,68,11.56,2,16,77.17,3,31,-64.57,2,4
,DEN,1,-32.42,10.23,7,75,-1.21,3,30,-40.86,5,30,-20.21,7,79,-102.29,1,2
,BLT,1,-18.73,-6.28,6,82,116.91,3,48,11.5,4,40,59.6,5,49,-15,7,42
,MIN,1,-37.78,-17.92,9,97,33.51,4,66,-112.8,0,0,33.01,7,108,-88.57,5,13
,ARZ,1,-26.52,-27.23,7,85,-53.35,6,79,-4.52,4,22,-28.56,6,64,-577.26,1,0
,GB,1,-0.68,-5.07,4,46,-71.83,1,22,-13.25,3,18,-73.62,1,5,-29.3,2,11
,LV,1,-3.99,77.67,3,55,54.12,8,90,-108.26,4,40,-78.68,1,6,-17.73,7,29
,SF,1,10.02,29.57,5,62,-54.41,9,46,164.24,2,29,-31.89,3,27,-10.51,5,27
,LAC,1,-9.08,-2.76,1,21,9.04,3,46,-24.41,1,5,36.64,3,25,62.42,4,48
,NE,1,6.71,51.61,9,118,-5.84,1,15,6.8,0,0,-54.59,4,38,-12.75,8,50
,CHI,1,24.84,76.27,6,111,89.2,7,121,59.3,6,93,135.9,4,70,-24.76,8,75
,ATL,1,-5.32,76.14,3,38,-163.4,0,0,33.81,6,109,-49.06,5,71,5.4,5,41
,CAR,1,2.01,21.22,7,91,-81.75,2,9,1.29,5,81,-11.91,5,54,-12.96,7,38
,HST,1,-12.16,-93.58,1,30,-35.09,4,27,70.44,3,36,-36.72,2,25,16.3,8,55
,IND,1,-13.51,-110.28,2,6,25,5,56,-176.88,1,4,12.84,10,95,3.74,7,42
,KC,1,20.04,28.13,2,17,-36.1,7,43,98.29,3,41,60.79,8,149,67.8,3,23
,DET,1,5.26,5.77,6,47,42.11,2,48,-134.59,1,16,41.19,2,11,42.59,3,21
,DAL,1,19.5,24.85,7,96,58.8,3,61,0,0,0,3.51,8,85,120.03,3,19
,CIN,1,54.82,-117.78,0,0,42.59,4,72,45.8,6,58,88.1,7,128,-41.91,3,22
,JAX,1,28.72,-4.87,4,23,20.41,3,38,-47.58,0,0,20.88,16,162,115.62,6,61
,NYG,1,26.71,65.66,4,41,94.45,2,34,143.21,2,40,24.43,5,41,45.29,6,79
,NO,1,14.08,68.88,5,60,34.62,7,95,-35.38,2,12,22.33,10,114,0,0,0
,TEN,1,5.74,83.42,4,53,-126.97,2,41,16.28,6,74,54.94,5,68,59.07,2,14
,MIA,1,12.03,0.43,2,13,54.53,5,64,-191.25,0,0,97.96,7,105,33.43,4,22
,WAS,1,30.98,52.31,8,129,136.16,4,48,-126.29,1,60,-14.27,5,53,112.5,3,40
