BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,Kyle  Monangai,CHI,RB,1,56,69.136,26,176,6.769,0,0,0,6,9,2,0,8.117,0.312,12.91,3.95,45.6,45.6
,Rico  Dowdle,CAR,RB,1,40,71.429,25,130,5.2,2,0,0,7,4,2,1,3.548,0.142,44.656,35.86,56.2,56.2
,Derrick  Henry,BLT,RB,1,36,62.069,19,119,6.263,0,0,0,3,2,1,0,0.1,0.005,5.938,-1.2,26.2,26.2
,Kyren  Williams,LA,RB,1,52,67.532,25,114,4.56,1,0,0,9,6,2,1,6.642,0.266,46.04,26.99,34.8,34.8
,James  Cook,BUF,RB,1,48,73.846,27,114,4.222,0,0,0,4,3,2,0,-2.426,-0.09,11.247,1.66,27,27
,Christian  McCaffrey,SF,RB,1,56,83.582,28,106,3.786,1,0,0,5,5,1,0,2.2,0.079,-29.257,-34.13,68.6,68.6
,Josh  Jacobs,GB,RB,1,36,57.143,17,87,5.118,1,0,0,6,3,2,1,1.948,0.115,40.554,42.32,40,40
,Travis  Etienne,JAX,RB,1,46,56.79,22,84,3.818,0,0,0,6,8,5,0,6.17,0.28,37.663,26.34,33,33
,Javonte  Williams,DAL,RB,1,56,81.159,15,83,5.533,0,0,0,6,4,1,0,1.912,0.127,14.126,12.74,18.6,18.6
,Emari  Demercado,ARZ,RB,1,27,40.909,14,79,5.643,0,0,0,4,2,0,0,0.292,0.021,5.171,0.56,17.6,17.6
,Aaron  Jones,MIN,RB,1,24,40,9,78,8.667,0,0,0,4,0,0,0,3.976,0.442,36.18,104.54,23.6,23.6
,De'Von  Achane,MIA,RB,1,56,88.889,14,67,4.786,0,0,0,4,2,0,0,-2.544,-0.182,-0.718,-9.92,33.2,33.2
,Chris  Rodriguez Jr.,WAS,RB,1,22,30.986,12,65,5.417,1,0,0,7,3,1,0,4.186,0.349,54.697,77.89,25,25
,J.K.  Dobbins,DEN,RB,1,29,46.774,15,61,4.067,0,0,0,3,0,0,0,-1.659,-0.111,1.726,-6.03,13.8,13.8
,Blake  Corum,LA,RB,1,21,27.273,13,58,4.462,0,0,0,3,1,0,0,0.194,0.015,7.19,4.62,11.6,11.6
,Justin  Herbert,LAC,QB,1,69,100,9,57,6.333,1,0,0,6,3,2,1,4.057,0.451,5.819,6.95,55.4,55.4
,Jaxson  Dart,NYG,QB,1,60,100,8,56,7,1,0,0,5,2,0,0,7.255,0.907,5.291,6.06,54.48,54.48
,Tony  Pollard,TEN,RB,1,26,57.778,10,56,5.6,0,0,0,3,3,2,0,-4.942,-0.494,-3.143,-15.29,15.6,15.6
,TreVeyon  Henderson,NE,RB,1,50,68.493,14,55,3.929,0,0,0,2,2,0,0,-0.404,-0.029,1.613,-5.67,25.4,25.4
,Caleb  Williams,CHI,QB,1,81,100,5,53,10.6,0,0,0,2,1,0,0,1.587,0.317,0,0,77.4,77.4
,Brian  Robinson,SF,RB,1,7,10.448,5,53,10.6,1,0,0,4,1,0,0,5.172,1.034,29.294,117.22,22.6,22.6
,Jayden  Daniels,WAS,QB,1,63,88.732,10,51,5.1,1,0,0,2,2,1,1,-1.479,-0.148,8.84,79.95,30.44,30.44
,Kareem  Hunt,KC,RB,1,46,79.31,11,49,4.455,1,0,0,3,6,3,1,1.729,0.157,0.796,-7.22,25,25
,Bijan  Robinson,ATL,RB,1,52,92.857,12,46,3.833,0,0,0,2,2,0,0,-1.11,-0.093,8.424,8.98,35.2,35.2
,Jonathan  Taylor,IND,RB,1,58,77.333,14,45,3.214,0,0,0,3,2,1,0,0.948,0.068,2.441,-5.25,15.4,15.4
,Jaret  Patterson,LAC,RB,1,17,24.638,9,44,4.889,0,0,0,1,1,0,0,-0.981,-0.109,3.993,2.78,8.8,8.8
,Devin  Singletary,NYG,RB,1,31,51.667,8,43,5.375,0,0,0,4,1,0,0,1.504,0.188,14.075,25.36,14.2,14.2
,Ashton  Jeanty,LV,RB,1,55,88.71,13,42,3.231,0,0,0,3,3,2,0,-3.46,-0.266,-9.695,-23.77,39.8,39.8
,Kenneth  Walker III,SEA,RB,1,26,54.167,11,42,3.818,0,0,0,2,3,2,0,-1.1,-0.1,-3.673,-15.86,16.2,16.2
,David  Montgomery,DET,RB,1,23,37.097,11,40,3.636,1,1,1,3,2,2,1,-2.812,-0.256,-9.22,-25.58,26,26
,Jacory  Croskey-Merritt,WAS,RB,1,29,40.845,12,38,3.167,0,0,0,0,1,0,0,-2.507,-0.209,-0.035,-8.66,10.2,10.2
,Chase  Brown,CIN,RB,1,61,93.846,11,37,3.364,0,0,0,3,2,1,0,-1.187,-0.108,-9.533,-27.6,38.4,38.4
,Jordan  Mason,MIN,RB,1,32,53.333,10,36,3.6,0,0,0,1,4,1,0,0.047,0.005,-0.051,-8.71,9.4,9.4
,Bo  Nix,DEN,QB,1,62,100,3,36,12,0,0,0,1,0,0,0,1.774,0.591,2.148,9.56,33.04,33.04
,Terrell  Jennings,NE,RB,1,15,20.548,11,35,3.182,1,0,0,5,3,1,0,0.521,0.047,7.32,4.39,22.8,22.8
,Nick  Chubb,HST,RB,1,26,34.667,11,34,3.091,0,0,0,1,4,1,0,-2.97,-0.27,6.188,3.52,6.8,6.8
,Dak  Prescott,DAL,QB,1,69,100,4,34,8.5,0,0,0,1,0,0,0,1.757,0.439,0,0,30.8,30.8
,Jaylen  Warren,PIT,RB,1,35,56.452,16,31,1.938,2,0,0,3,5,3,2,-4.22,-0.264,-11.249,-23.6,33.8,33.8
,Kimani  Vidal,LAC,RB,1,47,68.116,12,30,2.5,0,1,0,1,1,1,0,-1.382,-0.115,-43.693,-96.33,6,6
,Taysom  Hill,NO,QB,1,9,22.5,4,30,7.5,0,0,0,1,2,0,0,-2.592,-0.648,2.024,-2.44,6,6
,Bhayshul  Tuten,JAX,RB,1,20,24.691,9,29,3.222,1,0,0,4,6,2,1,1.78,0.198,17.586,23.41,19.2,19.2
,Woody  Marks,HST,RB,1,34,45.333,10,27,2.7,0,0,0,0,1,0,0,-3.635,-0.364,1.661,-3.7,5.4,5.4
,Bam  Knight,ARZ,RB,1,33,50,9,27,3,0,0,0,3,3,1,0,-1.822,-0.202,-23.923,-55.43,13.4,13.4
,Tyjae  Spears,TEN,RB,1,20,44.444,7,26,3.714,0,0,0,0,1,0,0,-2.367,-0.338,-8.043,-41.11,18.4,18.4
,Jahmyr  Gibbs,DET,RB,1,41,66.129,9,25,2.778,0,0,0,0,2,0,0,-3.077,-0.342,-10.688,-42.16,11.6,11.6
,Zach  Charbonnet,SEA,RB,1,18,37.5,8,25,3.125,0,0,0,1,0,0,0,-0.44,-0.055,-4.975,-23.61,11.2,11.2
,Trevor  Lawrence,JAX,QB,1,81,100,9,24,2.667,2,0,0,4,5,2,1,2.737,0.304,14.498,19.5,42.4,42.4
,Drake  Maye,NE,QB,1,73,100,8,20,2.5,0,0,0,2,1,0,0,0.33,0.041,0,0,36.72,36.72
,Michael  Penix Jr.,ATL,QB,1,56,100,2,19,9.5,0,0,0,1,1,0,0,1.763,0.882,0,0,45.48,45.48
,Josh  Allen,BUF,QB,1,65,100,6,19,3.167,2,0,0,4,2,2,2,4.411,0.735,18.716,33.31,57.64,57.64
